Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.231807112902672,-0.0181157062495953,0.306152835990506,0,0,0,26.67349504,2.29537872450219,-9.71572452120503E-19,-2.66210851881018E-17,4.58897921600171,0,2.29537872450219,0,0,0,0,0,0,package://final_mast/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://final_mast/meshes/base.STL,,new mast truss-1/truss base plate-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
mast,0.286024988995059,0.0555742623041182,-0.0712336017551502,0,0,0,3.55215387982123,0.182505964653922,5.27421373359982E-06,0.297057435206095,0.696082725150094,7.26935770486992E-06,0.524274527718264,0,0,0,0,0,0,package://final_mast/meshes/mast.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final_mast/meshes/mast.STL,,new mast truss-1/diagonal truss rod-16;new mast truss-1/diagonal truss rod-5;new mast truss-1/diagonal truss rod-11;new mast truss-1/diagonal truss rod-2;new mast truss-1/diagonal truss rod-18;new mast truss-1/diagonal truss rod-14;new mast truss-1/horizontal truss rod-5;new mast truss-1/diagonal truss rod-4;new mast truss-1/diagonal truss rod-3;new mast truss-1/horizontal truss rod-2;new mast truss-1/diagonal truss rod-10;new mast truss-1/diagonal truss rod-9;new mast truss-1/horizontal truss rod-3;new mast truss-1/diagonal truss rod-15;new mast truss-1/diagonal truss rod-13;new mast truss-1/diagonal truss rod-12;new mast truss-1/horizontal truss rod-4;new mast truss-1/diagonal truss rod-6;new mast truss-1/horizontal truss rod-6;new mast truss-1/diagonal truss rod-1;new mast truss-1/diagonal truss rod-19;new mast truss-1/diagonal truss rod-17;new mast truss-1/diagonal truss rod-8;new mast truss-1/truss base TR 4108-1;new mast truss-1/truss vertical rod-1;new mast truss-1/truss vertical rod-3;new mast truss-1/horizontal truss rod-1;new mast truss-1/truss base TR 4108-2;new mast truss-1/truss vertical rod-2,Origin_mast_joint,,mast_joint,fixed,0.23929,-0.12715,0.7141,3.1416,-1.0464,-1.0472,base,0,0,0,0,0,0,0,,,,,,,,0
blue_board,-5.55111512312578E-17,0,0.00126999999999999,0,0,0,0.198283474399999,0.00129001264777298,1.95088712527377E-19,-7.07133320416532E-36,0.00129001264777298,1.36369182639755E-21,0.00257981208793538,0,0,0,0,0,0,package://final_mast/meshes/blue_board.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://final_mast/meshes/blue_board.STL,,text_board-1,Origin_blue_board_joint,,blue_board_joint,fixed,0.45098,0.095984,-0.086085,-0.58884,-0.44761,-1.2894,mast,0,0,0,,,,,,,,,,,,
name_plate,2.77555756156289E-17,0.000126999999999988,0,0,0,0,0.00360515407999968,7.75319784594255E-07,4.48415508583941E-40,-1.44850079896059E-22,2.42281375651312E-05,7.94251067970232E-26,2.3452856545557E-05,0,0,0,0,0,0,package://final_mast/meshes/name_plate.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://final_mast/meshes/name_plate.STL,,text_excrude-1,Origin_name_plate_joint,,name_plate_joint,fixed,0,0.08382,0.002794,-1.5708,0,0,blue_board,0,0,0,,,,,,,,,,,,
rod_supporter,-1.11022302462516E-16,0,0.01524,0,0,0,0.0919734304942546,5.20957439344639E-05,-2.3398997418822E-21,-8.63635355504983E-22,2.56650484088638E-05,2.00216253752143E-21,6.78711959403822E-05,0,0,0,0,0,0,package://final_mast/meshes/rod_supporter.STL,1,1,1,1,0,0,0,0,0,0,package://final_mast/meshes/rod_supporter.STL,,module holder-1,Origin_rod_supporter_joint,,rod_supporter_joint,fixed,0,0,0,0,0,0,blue_board,0,0,0,,,,,,,,,,,,
guide_rods,-5.55111512312578E-17,2.22044604925031E-16,0.0543107874034415,0,0,0,0.0201669646243119,1.80976233284884E-05,-2.33061764938766E-40,9.22606618892689E-24,1.80976233284884E-05,-4.16978745735654E-39,1.55795054568415E-07,0,0,0,0,0,0,package://final_mast/meshes/guide_rods.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final_mast/meshes/guide_rods.STL,,Mast rod-2;Mast rod-1;Mast rod-4;Mast rod-3,Origin_guide_rods_joint,Axis_guide_rods_joint,guide_rods_joint,fixed,0,0,0,0,0,0,rod_supporter,0,0,0,,,,,,,,,,,,
communication_module,0.0134660243967413,-0.0126839365107112,0.000639459594719671,0,0,0,0.210240234105136,0.00014510351628552,4.05850233971895E-07,7.64351412431873E-06,0.00021092887628388,-2.53045246409258E-06,0.000163406381690408,0,0,0,0,0,0,package://final_mast/meshes/communication_module.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://final_mast/meshes/communication_module.STL,,communication module-1,Origin_communication_module_joint,,communication_module_joint,fixed,0.0127,0,0.05254,3.1416,-1.5708,1.6238,rod_supporter,0,0,0,,,,,,,,,,,,
antena,-0.00126999999999988,0.44450000000001,0.00126999999999988,0,0,0,0.143371875506258,0.0120842858829543,-5.74063345111717E-19,-8.88927714737223E-05,0.000179416558545412,-2.70074469998607E-19,0.0120842858829543,0,0,0,0,0,0,package://final_mast/meshes/antena.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://final_mast/meshes/antena.STL,,antenaa-1,Origin_antena_joint,,antena_joint,fixed,0.01604,0.43133,-0.020359,3.0885,0,0,communication_module,0,0,0,,,,,,,,,,,,
exposed_plate,8.88178419700125E-16,0.000127000000000044,-2.77555756156289E-17,0,0,0,0.000412780903939401,5.39960360516428E-08,-5.74455212874483E-23,-4.84975786754717E-23,1.54241350777618E-07,-5.98369508948817E-25,1.00249753221442E-07,0,0,0,0,0,0,package://final_mast/meshes/exposed_plate.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final_mast/meshes/exposed_plate.STL,,outer_aluminium_plate-1,Origin_exposed_plate_joint,Axis_exposed_plate_joint,exposed_plate_joint,fixed,0.0516,-0.012682,0.00067339,0,1.5177,-1.5708,communication_module,0,0,0,,,,,,,,,,,,
pankha,0.508,0,-5.55111512312578E-17,0,0,0,3.73075199999996,0.0101973887999999,0,8.84708972748172E-18,0.326022955775997,5.60136381722005E-20,0.326022955775997,0,0,0,0,0,0,package://final_mast/meshes/pankha.STL,1,1,1,1,0,0,0,0,0,0,package://final_mast/meshes/pankha.STL,,rotating antenna-1,Origin_pankha_joint,,pankha_joint,fixed,1.0849,0.51092,-0.7962,-0.58884,-0.44761,-1.2894,mast,0,0,0,,,,,,,,,,,,
navigation_pole,0,0,0.508,0,0,0,0.1901952,0.016378328708352,-6.97430332990107E-21,-6.07340949473425E-20,0.016378328708352,3.36950873090182E-19,3.49680215039997E-05,0,0,0,0,0,0,package://final_mast/meshes/navigation_pole.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://final_mast/meshes/navigation_pole.STL,,ntenna-1,Origin_navigation_pole_joint,,navigation_pole_joint,fixed,0.82846,-0.33761,0.0017139,-2.0944,0.52439,0,mast,0,0,0,,,,,,,,,,,,
